Year,ocean heat anomaly
1955,-0.112888
1956,-4.435912
1957,-5.5812
1958,-1.357916
1959,-0.125907
1960,-1.15004
1961,-2.191756
1962,-3.028738
1963,-1.974558
1964,-0.999268
1965,-3.65106
1966,-3.879088
1967,-3.258875
1968,-4.560177
1969,-4.898119
1970,-5.943489
1971,-3.910183
1972,-2.54613
1973,-3.276274
1974,-3.247772
1975,-2.137013
1976,-0.842684
1977,1.487195
1978,0.186941
1979,-1.640448
1980,1.813644
1981,0.533019
1982,-1.675871
1983,2.378227
1984,-2.455978
1985,1.808964
1986,1.70314
1987,-1.371921
1988,0.316734
1989,2.184499
1990,-1.216034
1991,3.209013
1992,1.039358
1993,0.014944
1994,-0.640411
1995,2.082141
1996,7.236955
1997,3.687088
1998,5.32325
1999,5.638433
2000,5.757782
2001,2.730675
2002,7.580072
2003,9.989262
2004,9.882789
2005,8.463406
2006,9.907466
2007,8.81155
2008,10.336976
2009,9.101278
2010,9.614333
2011,10.042295
2012,10.098619
2013,12.048531
2014,13.165339
2015,14.841905
2016,13.076438
2017,16.228298
2018,15.545946
2019,17.515776
2020,17.286221
2021,17.946842
2022,20.062943
2023,19.86902
